aX,aY,aZ,gX,gY,gZ
-0.620,1.111,-0.728,134.888,-130.554,56.091
-0.576,1.221,-0.822,110.962,-158.020,54.871
-0.511,1.336,-0.725,81.604,-188.416,51.147
-0.357,1.343,-0.517,44.495,-212.952,49.438
-0.121,1.409,-0.368,2.991,-226.074,57.556
0.158,1.558,-0.259,-29.968,-230.957,68.787
0.556,1.711,-0.145,-53.040,-232.117,75.684
1.015,1.834,-0.045,-75.989,-229.126,79.346
1.419,1.922,0.009,-98.083,-222.290,79.529
1.724,1.929,0.047,-111.206,-216.919,69.275
2.008,1.788,0.163,-116.028,-225.708,49.622
2.393,1.531,0.478,-125.549,-243.958,29.846
2.718,1.109,0.898,-146.667,-253.357,11.230
2.942,0.659,1.249,-167.358,-239.807,-2.258
3.075,0.355,1.443,-179.993,-197.815,-9.766
3.024,0.126,1.423,-189.209,-131.470,-14.038
2.819,0.068,1.115,-199.829,-55.115,-13.611
2.536,0.123,0.764,-212.708,5.371,-13.428
2.297,0.175,0.449,-223.572,36.194,-18.616
2.170,0.157,0.214,-234.497,40.649,-30.518
2.121,-0.023,0.163,-246.338,29.907,-56.030
1.970,-0.408,0.279,-244.995,11.475,-95.947
1.826,-0.926,0.418,-225.830,-7.019,-131.348
1.699,-1.405,0.549,-194.885,-21.057,-149.963
1.543,-1.782,0.599,-152.100,-23.743,-147.766
1.385,-1.928,0.601,-106.873,-14.099,-122.986
1.208,-1.900,0.612,-74.219,3.784,-81.116
1.077,-1.766,0.615,-66.406,24.292,-36.865
1.050,-1.459,0.638,-81.604,49.377,-1.221
1.036,-1.122,0.585,-97.046,61.279,30.701
1.027,-0.824,0.624,-97.412,59.753,47.791
1.015,-0.586,0.751,-83.618,52.002,45.959
0.970,-0.511,0.869,-65.796,42.969,34.790
0.915,-0.532,0.913,-46.997,39.795,16.785
0.836,-0.641,0.934,-22.888,44.373,-3.723
0.753,-0.785,0.911,6.042,51.514,-18.188
0.662,-0.920,0.906,33.508,56.274,-21.973
0.577,-1.013,0.841,49.683,60.791,-12.085
0.514,-1.016,0.756,48.279,67.261,10.559
0.475,-0.876,0.641,35.889,71.228,40.771
0.535,-0.734,0.559,27.222,67.444,72.266
0.573,-0.620,0.501,23.010,54.138,92.041
0.612,-0.492,0.510,20.569,40.833,95.703
0.615,-0.398,0.566,23.193,29.114,89.233
0.613,-0.360,0.607,29.846,21.973,79.102
0.620,-0.341,0.631,37.842,20.691,68.909
0.638,-0.334,0.607,45.593,20.325,59.570
0.666,-0.331,0.571,50.415,15.625,52.063
0.699,-0.314,0.511,51.331,8.423,47.913
0.758,-0.287,0.472,49.561,7.690,47.852
0.806,-0.241,0.412,45.471,10.132,49.011
0.843,-0.183,0.373,41.443,10.620,48.462
0.875,-0.197,0.389,38.025,7.996,45.593
0.892,-0.206,0.368,32.715,7.690,42.603
0.913,-0.149,0.315,27.832,8.606,38.330
0.927,-0.164,0.321,26.917,8.362,31.250
0.926,-0.172,0.284,27.161,9.338,24.536
0.932,-0.214,0.279,24.841,11.841,19.592
0.934,-0.222,0.242,22.949,13.062,16.479
0.922,-0.230,0.215,21.667,13.123,14.526
0.922,-0.199,0.184,20.935,13.428,13.428
0.914,-0.178,0.157,22.034,13.550,12.939
0.912,-0.158,0.138,20.569,12.878,13.672
0.907,-0.132,0.119,15.808,11.780,14.404
0.908,-0.113,0.096,10.559,10.498,14.221
0.908,-0.096,0.070,6.470,8.240,12.878
0.918,-0.081,0.055,4.517,5.005,10.132
0.925,-0.076,0.065,4.333,1.343,6.531
0.927,-0.084,0.082,3.052,-1.221,2.930
0.945,-0.091,0.113,-0.122,-2.319,0.061
0.958,-0.115,0.161,-1.770,-2.563,-1.709
0.966,-0.128,0.189,-0.854,-1.953,-2.930
0.976,-0.135,0.206,2.014,-1.587,-4.089
