aX,aY,aZ,gX,gY,gZ
-0.243,0.826,0.145,-91.187,62.195,72.327
-0.294,0.761,0.098,-100.220,45.898,80.322
-0.329,0.685,0.089,-109.680,26.184,84.290
-0.351,0.613,0.094,-113.220,3.052,83.130
-0.367,0.573,0.141,-110.352,-19.714,77.332
-0.356,0.564,0.242,-107.910,-37.842,66.833
-0.380,0.488,0.367,-111.328,-49.683,51.758
-0.386,0.402,0.493,-117.065,-55.664,36.011
-0.362,0.281,0.578,-118.469,-55.664,20.691
-0.364,0.128,0.586,-111.572,-51.575,7.080
-0.380,-0.004,0.534,-100.769,-44.189,-2.991
-0.392,-0.121,0.436,-91.858,-38.452,-8.850
-0.390,-0.195,0.337,-86.365,-36.316,-9.460
-0.388,-0.242,0.252,-81.665,-38.696,-7.507
-0.359,-0.285,0.172,-76.477,-47.974,-5.615
-0.353,-0.313,0.148,-70.007,-61.279,-5.432
-0.327,-0.360,0.130,-63.293,-73.425,-6.653
-0.297,-0.399,0.108,-62.866,-82.764,-5.371
-0.257,-0.409,0.091,-70.984,-89.844,0.427
-0.199,-0.396,0.113,-83.557,-93.689,7.751
-0.129,-0.390,0.125,-96.252,-91.858,13.062
-0.074,-0.370,0.101,-104.797,-85.510,14.038
-0.037,-0.372,0.054,-107.239,-80.383,9.094
0.000,-0.424,0.035,-103.821,-78.491,-1.648
-0.000,-0.499,0.005,-95.154,-78.796,-16.357
0.006,-0.588,-0.042,-83.984,-80.566,-31.189
0.062,-0.652,-0.117,-75.500,-82.947,-41.687
0.095,-0.724,-0.186,-66.956,-86.487,-49.683
0.143,-0.790,-0.218,-59.326,-89.600,-57.068
0.194,-0.860,-0.254,-53.345,-90.027,-63.538
0.212,-0.917,-0.254,-49.194,-89.661,-67.078
0.258,-0.967,-0.231,-46.570,-91.125,-65.979
0.309,-1.039,-0.195,-47.729,-94.788,-63.965
0.348,-1.078,-0.125,-50.171,-100.098,-61.584
0.429,-1.106,-0.076,-42.969,-109.253,-60.059
0.472,-1.104,-0.052,-26.428,-121.216,-59.082
0.550,-0.997,-0.128,-7.019,-130.127,-58.411
0.712,-0.889,-0.210,5.493,-134.521,-58.960
0.816,-0.796,-0.218,11.292,-133.606,-61.707
0.870,-0.687,-0.264,13.184,-129.700,-72.632
0.992,-0.704,-0.285,16.235,-128.296,-84.351
1.028,-0.815,-0.206,22.827,-128.479,-101.257
0.990,-1.000,-0.073,29.236,-135.803,-113.525
0.982,-1.133,0.093,35.461,-143.005,-113.892
0.999,-1.200,0.171,46.753,-144.043,-104.492
1.058,-1.148,0.120,56.274,-141.357,-90.942
1.172,-1.046,0.066,56.091,-140.259,-76.233
1.281,-0.945,0.052,50.476,-141.113,-63.904
1.563,-0.836,0.020,42.664,-138.428,-56.152
1.844,-0.772,-0.008,35.828,-131.165,-51.086
2.022,-0.761,-0.029,37.354,-118.652,-52.612
2.177,-0.877,-0.047,48.096,-108.093,-64.880
2.229,-1.087,0.079,61.096,-112.854,-82.520
2.220,-1.327,0.397,75.562,-130.920,-93.018
2.286,-1.509,0.686,94.788,-144.348,-86.365
2.277,-1.482,0.919,114.319,-141.174,-58.105
2.286,-1.324,1.072,125.671,-126.648,-15.869
2.370,-1.044,1.187,128.174,-109.924,30.701
2.404,-0.729,1.201,130.798,-89.233,72.571
2.348,-0.404,1.162,132.751,-63.782,99.426
2.346,-0.114,1.180,130.554,-40.405,110.718
2.325,0.018,1.285,129.883,-26.855,109.497
2.214,0.087,1.393,138.367,-20.813,103.455
2.055,0.218,1.386,157.288,-13.184,103.760
1.879,0.443,1.353,171.631,-4.761,118.591
1.734,0.771,1.321,163.452,4.700,145.630
1.565,1.095,1.301,139.771,18.250,176.941
1.422,1.413,1.254,111.755,36.621,197.388
1.290,1.660,1.115,88.867,54.688,195.129
1.164,1.760,0.941,71.655,67.688,168.457
1.049,1.673,0.779,59.143,72.754,121.765
0.943,1.430,0.656,57.617,69.153,63.232
0.793,1.153,0.505,68.970,60.425,6.714
0.686,0.891,0.354,87.097,50.354,-34.607
0.618,0.726,0.221,99.915,38.208,-51.941
0.560,0.623,0.170,98.389,25.269,-43.945
0.566,0.575,0.257,80.139,13.428,-21.240
0.577,0.590,0.414,52.246,5.920,7.263
0.637,0.660,0.563,25.696,7.690,32.410
0.709,0.710,0.615,7.690,13.855,42.603
0.717,0.707,0.566,0.305,18.799,37.048
0.707,0.662,0.472,0.793,23.560,20.691
0.699,0.563,0.385,6.287,24.841,-0.122
0.680,0.446,0.320,13.611,19.653,-17.578
0.563,0.317,0.214,22.400,12.512,-25.024
